"Year","State","Commodity","Measurement","Unit","Domain","Category","Value"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(AZOXYSTROBIN = 128810)","1,800"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)"," (NA)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(BACILLUS SUBTILIS = 6479)"," (NA)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(BORAX DECAHYDRATE = 11102)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(BOSCALID = 128008)","2,300"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)","20,200"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CAPTAN = 81301)","44,000"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CHLOROTHALONIL = 81901)","3,900"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(COPPER CHLORIDE HYD. = 23501)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(COPPER HYDROXIDE = 23401)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(COPPER SULFATE = 24401)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(CYPRODINIL = 288202)","1,900"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(DIFENOCONAZOLE = 128847)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(FENBUCONAZOLE = 129011)","500"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(FENHEXAMID = 90209)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(FLUDIOXONIL = 71503)","1,300"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(MEFENOXAM = 113502)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(METCONAZOLE = 125619)","400"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(MONO-POTASSIUM SALT = 76416)","9,300"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(MYCLOBUTANIL = 128857)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(POLYOXIN D ZINC SALT = 230000)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(PROPICONAZOLE = 122101)","1,000"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(PROTHIOCONAZOLE = 113961)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(PYRACLOSTROBIN = 99100)","1,200"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(SULFUR = 77501)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(TEBUCONAZOLE = 128997)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(TOTAL)","91,400"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","FUNGICIDE","(TRICHODERMA HARZ. = 119202)"," (NA)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(2,4-D, DIMETH. SALT = 30019)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(AMMONIUM PELARGONATE = 31802)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(CLETHODIM = 121011)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(CLORANSULAM-METHYL = 129116)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(DIURON = 35505)","1,700"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(FLUMIOXAZIN = 129034)","700"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLUFOSINATE-AMMONIUM = 128850)","5,400"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLYPHOSATE = 417300)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLYPHOSATE AMM. SALT = 103604)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLYPHOSATE ISO. SALT = 103601)","7,500"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(GLYPHOSATE POT. SALT = 103613)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(ORYZALIN = 104201)","4,000"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(OXYFLUORFEN = 111601)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(PARAQUAT = 61601)","2,500"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(PENOXSULAM = 119031)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(SIMAZINE = 80807)","3,900"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","HERBICIDE","(TOTAL)","29,800"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ACEPHATE = 103301)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ACETAMIPRID = 99050)","200"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(BIFENTHRIN = 128825)","700"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(CHROMOBAC SUBTSUGAE PRAA4-1 CELLS AND SPENT MEDIA = 16329)"," (NA)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(DIAZINON = 57801)","2,900"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ESFENVALERATE = 109303)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(FLUPYRADIFURONE = 122304)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(IMIDACLOPRID = 129099)","900"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(MALATHION = 57701)","9,800"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(METHOMYL = 90301)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(PERMETHRIN = 109701)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(PHOSMET = 59201)","4,000"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(SPINETORAM = 110007)","200"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(SPINOSAD = 110003)","100"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(THIAMETHOXAM = 60109)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(TOTAL)","19,300"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","INSECTICIDE","(ZETA-CYPERMETHRIN = 129064)","300"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","OTHER","(ALKYL. DIM. BENZ. AM = 69105)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","OTHER","(CUPRAMMONIUM ACETATE = 36011)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","OTHER","(CYANAMID = 14002)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","OTHER","(CYTOKININS = 116801)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","OTHER","(DECYLDIMETHYLOCTYL = 69165)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","OTHER","(DIDECYL DIM. AMMON. = 69166)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","OTHER","(DIMETHYLDIOCTYL = 69149)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","OTHER","(GIBBERELLIC ACID = 43801)","500"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","OTHER","(INDAZIFLAM = 80818)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","OTHER","(INDOLEBUTYRIC ACID = 46701)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","OTHER","(MINERAL OIL = 63502)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","OTHER","(REYNOUTRIA SACHALINE = 55809)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB","OTHER","(TOTAL)","3,700"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","(AZOXYSTROBIN = 128810)","0.192"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","(BACILLUS AMYLOLIQUEFACIENS STRAIN D747 = 16482)"," (NA)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","(BACILLUS SUBTILIS = 6479)"," (NA)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","(BORAX DECAHYDRATE = 11102)"," (D)"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","(BOSCALID = 128008)","0.286"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","(CALCIUM POLYSULFIDE = 76702)","4.097"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","(CAPTAN = 81301)","1.685"
2019,"GEORGIA","BLUEBERRIES","APPLICATIONS","LB / ACRE / APPLICATION, AVG","FUNGICIDE","(CHLOROTHALONIL = 81901)","2.476"
