"Year","State","Commodity","Measurement","Unit","Value","TAME"
2019,"CALIFORNIA","BLUEBERRIES","PRICE RECEIVED","$ / LB","2.85",1
2019,"CALIFORNIA","BLUEBERRIES","FRESH MARKET - PRICE RECEIVED","$ / LB","3.56",1
2019,"CALIFORNIA","BLUEBERRIES","PROCESSING - PRICE RECEIVED","$ / LB","0.29",1
2019,"FLORIDA","BLUEBERRIES","PRICE RECEIVED","$ / LB","2.64",1
2019,"FLORIDA","BLUEBERRIES","FRESH MARKET - PRICE RECEIVED","$ / LB"," (D)",1
2019,"FLORIDA","BLUEBERRIES","PROCESSING - PRICE RECEIVED","$ / LB"," (D)",1
2019,"GEORGIA","BLUEBERRIES","PRICE RECEIVED","$ / LB","1.42",1
2019,"GEORGIA","BLUEBERRIES","FRESH MARKET - PRICE RECEIVED","$ / LB","1.94",1
2019,"GEORGIA","BLUEBERRIES","PROCESSING - PRICE RECEIVED","$ / LB","0.42",1
2019,"MAINE","BLUEBERRIES","PRICE RECEIVED","$ / LB","0.48",0
2019,"MAINE","BLUEBERRIES","FRESH MARKET - PRICE RECEIVED","$ / LB","1.19",0
2019,"MAINE","BLUEBERRIES","PROCESSING - PRICE RECEIVED","$ / LB","0.461",0
2019,"MICHIGAN","BLUEBERRIES","PRICE RECEIVED","$ / LB","0.886",1
2019,"MICHIGAN","BLUEBERRIES","FRESH MARKET - PRICE RECEIVED","$ / LB","1.35",1
2019,"MICHIGAN","BLUEBERRIES","PROCESSING - PRICE RECEIVED","$ / LB","0.37",1
2019,"NEW JERSEY","BLUEBERRIES","PRICE RECEIVED","$ / LB","1.85",1
2019,"NEW JERSEY","BLUEBERRIES","FRESH MARKET - PRICE RECEIVED","$ / LB","2.15",1
2019,"NEW JERSEY","BLUEBERRIES","PROCESSING - PRICE RECEIVED","$ / LB","0.44",1
2019,"NORTH CAROLINA","BLUEBERRIES","PRICE RECEIVED","$ / LB","1.7",1
2019,"NORTH CAROLINA","BLUEBERRIES","FRESH MARKET - PRICE RECEIVED","$ / LB"," (D)",1
2019,"NORTH CAROLINA","BLUEBERRIES","PROCESSING - PRICE RECEIVED","$ / LB"," (D)",1
2019,"OREGON","BLUEBERRIES","PRICE RECEIVED","$ / LB","0.871",1
2019,"OREGON","BLUEBERRIES","FRESH MARKET - PRICE RECEIVED","$ / LB","1.23",1
2019,"OREGON","BLUEBERRIES","PROCESSING - PRICE RECEIVED","$ / LB","0.58",1
2019,"OTHER STATES","BLUEBERRIES","FRESH MARKET - PRICE RECEIVED","$ / LB","2.27",1
2019,"OTHER STATES","BLUEBERRIES","PROCESSING - PRICE RECEIVED","$ / LB","0.452",1
2019,"WASHINGTON","BLUEBERRIES","PRICE RECEIVED","$ / LB","0.941",1
2019,"WASHINGTON","BLUEBERRIES","FRESH MARKET - PRICE RECEIVED","$ / LB","1.81",1
2019,"WASHINGTON","BLUEBERRIES","PROCESSING - PRICE RECEIVED","$ / LB","0.55",1
2019,"CALIFORNIA","BLUEBERRIES","ACRES HARVESTED","ACRE","7,300",1
2019,"CALIFORNIA","BLUEBERRIES","PRODUCTION","LB","73,700,000",1
2019,"CALIFORNIA","BLUEBERRIES","YIELD","LB / ACRE","10,100",1
2019,"CALIFORNIA","BLUEBERRIES","FRESH MARKET - PRODUCTION","$","199,930,000",1
2019,"CALIFORNIA","BLUEBERRIES","FRESH MARKET - PRODUCTION","LB","56,160,000",1
2019,"CALIFORNIA","BLUEBERRIES","NOT SOLD - PRODUCTION","LB","1,920,000",1
2019,"CALIFORNIA","BLUEBERRIES","PROCESSING - PRODUCTION","$","4,530,000",1
2019,"CALIFORNIA","BLUEBERRIES","PROCESSING - PRODUCTION","LB","15,620,000",1
2019,"CALIFORNIA","BLUEBERRIES","UTILIZED - PRODUCTION","$","204,460,000",1
2019,"CALIFORNIA","BLUEBERRIES","UTILIZED - PRODUCTION","LB","71,780,000",1
2019,"FLORIDA","BLUEBERRIES","ACRES HARVESTED","ACRE","5,100",1
2019,"FLORIDA","BLUEBERRIES","PRODUCTION","LB","24,200,000",1
2019,"FLORIDA","BLUEBERRIES","YIELD","LB / ACRE","4,740",1
2019,"FLORIDA","BLUEBERRIES","FRESH MARKET - PRODUCTION","$"," (D)",1
2019,"FLORIDA","BLUEBERRIES","FRESH MARKET - PRODUCTION","LB"," (D)",1
2019,"FLORIDA","BLUEBERRIES","NOT SOLD - PRODUCTION","LB","580,000",1
2019,"FLORIDA","BLUEBERRIES","PROCESSING - PRODUCTION","$"," (D)",1
2019,"FLORIDA","BLUEBERRIES","PROCESSING - PRODUCTION","LB"," (D)",1
2019,"FLORIDA","BLUEBERRIES","UTILIZED - PRODUCTION","$","62,309,000",1
2019,"FLORIDA","BLUEBERRIES","UTILIZED - PRODUCTION","LB","23,620,000",1
2019,"GEORGIA","BLUEBERRIES","ACRES HARVESTED","ACRE","21,700",1
2019,"GEORGIA","BLUEBERRIES","PRODUCTION","LB","95,900,000",1
2019,"GEORGIA","BLUEBERRIES","YIELD","LB / ACRE","4,420",1
2019,"GEORGIA","BLUEBERRIES","FRESH MARKET - PRODUCTION","$","119,446,000",1
2019,"GEORGIA","BLUEBERRIES","FRESH MARKET - PRODUCTION","LB","61,570,000",1
2019,"GEORGIA","BLUEBERRIES","NOT SOLD - PRODUCTION","LB","1,920,000",1
2019,"GEORGIA","BLUEBERRIES","PROCESSING - PRODUCTION","$","13,612,000",1
2019,"GEORGIA","BLUEBERRIES","PROCESSING - PRODUCTION","LB","32,410,000",1
2019,"GEORGIA","BLUEBERRIES","UTILIZED - PRODUCTION","$","133,058,000",1
2019,"GEORGIA","BLUEBERRIES","UTILIZED - PRODUCTION","LB","93,980,000",1
2019,"MAINE","BLUEBERRIES","ACRES HARVESTED","ACRE","19,500",0
2019,"MAINE","BLUEBERRIES","PRODUCTION","LB","54,400,000",0
2019,"MAINE","BLUEBERRIES","YIELD","LB / ACRE","2,790",0
2019,"MAINE","BLUEBERRIES","FRESH MARKET - PRODUCTION","$","1,678,000",0
2019,"MAINE","BLUEBERRIES","FRESH MARKET - PRODUCTION","LB","1,410,000",0
2019,"MAINE","BLUEBERRIES","NOT SOLD - PRODUCTION","LB","170,000",0
2019,"MAINE","BLUEBERRIES","PROCESSING - PRODUCTION","$","24,350,000",0
2019,"MAINE","BLUEBERRIES","PROCESSING - PRODUCTION","LB","52,820,000",0
2019,"MAINE","BLUEBERRIES","UTILIZED - PRODUCTION","$","26,028,000",0
2019,"MAINE","BLUEBERRIES","UTILIZED - PRODUCTION","LB","54,230,000",0
